Library,Free Seats,% Free,Date,Time
Great Ormond Street Institute of Child Health Library,82,73.21428571428571,2024-10-16,16:58:09.293787
UCL East Library,107,70.86092715231787,2024-10-16,16:58:09.293904
Language & Speech Science Library,40,70.17543859649122,2024-10-16,16:58:09.293830
SSEES Library,117,66.47727272727273,2024-10-16,16:58:09.293873
School of Pharmacy Library,36,61.016949152542374,2024-10-16,16:58:09.293859
The Joint Library of Ophthalmology,26,59.09090909090909,2024-10-16,16:58:09.293820
Bartlett Library,39,56.52173913043478,2024-10-16,16:58:09.293750
Graduate Hub (Postgraduate use only),31,56.36363636363636,2024-10-16,16:58:09.293777
"Queen Square Institute of Neurology, Queen Square Library",15,51.724137931034484,2024-10-16,16:58:09.293850
Cruciform Hub,124,50.20242914979757,2024-10-16,16:58:09.293766
Institute of Archaeology Library,27,46.55172413793103,2024-10-16,16:58:09.293798
Science Library,409,44.55337690631808,2024-10-16,16:58:09.293884
Main Library,233,37.28,2024-10-16,16:58:09.293839
Student Centre,232,35.85780525502319,2024-10-16,16:58:09.293894
IOE Library,115,35.0609756097561,2024-10-16,16:58:09.293810
Institute of Archaeology Library,58,100.0,2024-10-17,00:56:43.644110
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,00:56:43.644161
UCL East Library,150,99.33774834437085,2024-10-17,00:56:43.644212
SSEES Library,171,97.1590909090909,2024-10-17,00:56:43.644181
Language & Speech Science Library,55,96.49122807017544,2024-10-17,00:56:43.644141
Graduate Hub (Postgraduate use only),53,96.36363636363636,2024-10-17,00:56:43.644087
Bartlett Library,64,92.7536231884058,2024-10-17,00:56:43.644057
School of Pharmacy Library,54,91.52542372881356,2024-10-17,00:56:43.644171
Main Library,568,90.88000000000001,2024-10-17,00:56:43.644151
Science Library,828,90.19607843137256,2024-10-17,00:56:43.644191
Student Centre,569,87.94435857805254,2024-10-17,00:56:43.644202
Great Ormond Street Institute of Child Health Library,95,84.82142857142857,2024-10-17,00:56:43.644099
Cruciform Hub,188,76.11336032388664,2024-10-17,00:56:43.644073
IOE Library,220,67.07317073170732,2024-10-17,00:56:43.644121
The Joint Library of Ophthalmology,26,59.09090909090909,2024-10-17,00:56:43.644131
Institute of Archaeology Library,58,100.0,2024-10-17,02:15:48.667355
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,02:15:48.667405
UCL East Library,150,99.33774834437085,2024-10-17,02:15:48.667458
Graduate Hub (Postgraduate use only),54,98.18181818181819,2024-10-17,02:15:48.667334
SSEES Library,170,96.5909090909091,2024-10-17,02:15:48.667429
Language & Speech Science Library,55,96.49122807017544,2024-10-17,02:15:48.667385
Bartlett Library,65,94.20289855072464,2024-10-17,02:15:48.667308
School of Pharmacy Library,54,91.52542372881356,2024-10-17,02:15:48.667419
Main Library,570,91.2,2024-10-17,02:15:48.667395
Science Library,831,90.52287581699346,2024-10-17,02:15:48.667439
Student Centre,573,88.56259659969088,2024-10-17,02:15:48.667449
Great Ormond Street Institute of Child Health Library,95,84.82142857142857,2024-10-17,02:15:48.667344
Cruciform Hub,209,84.61538461538461,2024-10-17,02:15:48.667323
IOE Library,246,75.0,2024-10-17,02:15:48.667365
The Joint Library of Ophthalmology,27,61.36363636363637,2024-10-17,02:15:48.667375
Institute of Archaeology Library,58,100.0,2024-10-17,03:18:12.215641
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,03:18:12.215692
UCL East Library,150,99.33774834437085,2024-10-17,03:18:12.215747
Graduate Hub (Postgraduate use only),54,98.18181818181819,2024-10-17,03:18:12.215620
SSEES Library,170,96.5909090909091,2024-10-17,03:18:12.215716
Language & Speech Science Library,55,96.49122807017544,2024-10-17,03:18:12.215672
Main Library,594,95.04,2024-10-17,03:18:12.215682
Bartlett Library,65,94.20289855072464,2024-10-17,03:18:12.215592
School of Pharmacy Library,54,91.52542372881356,2024-10-17,03:18:12.215702
Science Library,838,91.28540305010894,2024-10-17,03:18:12.215727
Student Centre,580,89.64451313755795,2024-10-17,03:18:12.215737
Great Ormond Street Institute of Child Health Library,95,84.82142857142857,2024-10-17,03:18:12.215630
Cruciform Hub,191,77.32793522267207,2024-10-17,03:18:12.215608
IOE Library,242,73.78048780487805,2024-10-17,03:18:12.215651
The Joint Library of Ophthalmology,29,65.9090909090909,2024-10-17,03:18:12.215662
Institute of Archaeology Library,58,100.0,2024-10-17,04:15:06.086395
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,04:15:06.086444
UCL East Library,150,99.33774834437085,2024-10-17,04:15:06.086498
Graduate Hub (Postgraduate use only),54,98.18181818181819,2024-10-17,04:15:06.086374
SSEES Library,169,96.02272727272727,2024-10-17,04:15:06.086464
Language & Speech Science Library,54,94.73684210526315,2024-10-17,04:15:06.086424
Main Library,586,93.76,2024-10-17,04:15:06.086434
Bartlett Library,64,92.7536231884058,2024-10-17,04:15:06.086346
School of Pharmacy Library,54,91.52542372881356,2024-10-17,04:15:06.086454
Science Library,816,88.88888888888889,2024-10-17,04:15:06.086478
Great Ormond Street Institute of Child Health Library,97,86.60714285714286,2024-10-17,04:15:06.086384
Cruciform Hub,213,86.23481781376519,2024-10-17,04:15:06.086363
Student Centre,555,85.7805255023184,2024-10-17,04:15:06.086488
IOE Library,217,66.15853658536585,2024-10-17,04:15:06.086405
The Joint Library of Ophthalmology,27,61.36363636363637,2024-10-17,04:15:06.086415
Institute of Archaeology Library,58,100.0,2024-10-17,05:12:39.656501
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,05:12:39.656551
Graduate Hub (Postgraduate use only),54,98.18181818181819,2024-10-17,05:12:39.656479
SSEES Library,170,96.5909090909091,2024-10-17,05:12:39.656572
Bartlett Library,66,95.65217391304348,2024-10-17,05:12:39.656452
UCL East Library,144,95.36423841059603,2024-10-17,05:12:39.656602
Language & Speech Science Library,54,94.73684210526315,2024-10-17,05:12:39.656531
School of Pharmacy Library,51,86.4406779661017,2024-10-17,05:12:39.656561
Cruciform Hub,213,86.23481781376519,2024-10-17,05:12:39.656468
Main Library,533,85.28,2024-10-17,05:12:39.656541
Student Centre,532,82.22565687789799,2024-10-17,05:12:39.656592
Science Library,750,81.69934640522875,2024-10-17,05:12:39.656582
Great Ormond Street Institute of Child Health Library,89,79.46428571428571,2024-10-17,05:12:39.656490
IOE Library,238,72.5609756097561,2024-10-17,05:12:39.656511
The Joint Library of Ophthalmology,28,63.63636363636363,2024-10-17,05:12:39.656521
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,06:17:12.985960
UCL East Library,150,99.33774834437085,2024-10-17,06:17:12.986013
Bartlett Library,64,92.7536231884058,2024-10-17,06:17:12.985860
School of Pharmacy Library,54,91.52542372881356,2024-10-17,06:17:12.985970
Institute of Archaeology Library,53,91.37931034482759,2024-10-17,06:17:12.985910
Cruciform Hub,215,87.04453441295547,2024-10-17,06:17:12.985877
Great Ormond Street Institute of Child Health Library,96,85.71428571428571,2024-10-17,06:17:12.985899
Graduate Hub (Postgraduate use only),47,85.45454545454545,2024-10-17,06:17:12.985889
Main Library,532,85.11999999999999,2024-10-17,06:17:12.985950
Science Library,771,83.98692810457517,2024-10-17,06:17:12.985990
Student Centre,536,82.84389489953632,2024-10-17,06:17:12.986003
Language & Speech Science Library,44,77.19298245614034,2024-10-17,06:17:12.985940
IOE Library,241,73.47560975609755,2024-10-17,06:17:12.985920
SSEES Library,126,71.5909090909091,2024-10-17,06:17:12.985980
The Joint Library of Ophthalmology,28,63.63636363636363,2024-10-17,06:17:12.985930
Institute of Archaeology Library,58,100.0,2024-10-17,07:12:50.550254
"Queen Square Institute of Neurology, Queen Square Library",29,100.0,2024-10-17,07:12:50.550325
UCL East Library,150,99.33774834437085,2024-10-17,07:12:50.550391
Science Library,869,94.66230936819173,2024-10-17,07:12:50.550363
Language & Speech Science Library,53,92.98245614035088,2024-10-17,07:12:50.550296
Bartlett Library,64,92.7536231884058,2024-10-17,07:12:50.550185
School of Pharmacy Library,52,88.13559322033898,2024-10-17,07:12:50.550337
Main Library,540,86.4,2024-10-17,07:12:50.550311
SSEES Library,148,84.0909090909091,2024-10-17,07:12:50.550351
Great Ormond Street Institute of Child Health Library,92,82.14285714285714,2024-10-17,07:12:50.550239
Student Centre,518,80.06182380216383,2024-10-17,07:12:50.550376
Cruciform Hub,196,79.35222672064778,2024-10-17,07:12:50.550210
Graduate Hub (Postgraduate use only),41,74.54545454545455,2024-10-17,07:12:50.550225
IOE Library,235,71.64634146341463,2024-10-17,07:12:50.550268
The Joint Library of Ophthalmology,27,61.36363636363637,2024-10-17,07:12:50.550282
Institute of Archaeology Library,58,100.0,2024-10-17,08:16:10.468757
UCL East Library,149,98.67549668874173,2024-10-17,08:16:10.468894
Language & Speech Science Library,54,94.73684210526315,2024-10-17,08:16:10.468801
SSEES Library,162,92.04545454545455,2024-10-17,08:16:10.468857
Bartlett Library,63,91.30434782608695,2024-10-17,08:16:10.468690
Main Library,557,89.12,2024-10-17,08:16:10.468816
Science Library,813,88.56209150326796,2024-10-17,08:16:10.468869
Graduate Hub (Postgraduate use only),48,87.27272727272727,2024-10-17,08:16:10.468727
Great Ormond Street Institute of Child Health Library,97,86.60714285714286,2024-10-17,08:16:10.468742
School of Pharmacy Library,47,79.66101694915254,2024-10-17,08:16:10.468843
Cruciform Hub,193,78.13765182186235,2024-10-17,08:16:10.468711
Student Centre,465,71.87017001545595,2024-10-17,08:16:10.468882
"Queen Square Institute of Neurology, Queen Square Library",19,65.51724137931035,2024-10-17,08:16:10.468830
IOE Library,213,64.9390243902439,2024-10-17,08:16:10.468772
The Joint Library of Ophthalmology,25,56.81818181818182,2024-10-17,08:16:10.468787
UCL East Library,137,90.72847682119205,2024-10-17,09:13:09.694855
SSEES Library,155,88.06818181818183,2024-10-17,09:13:09.694815
Bartlett Library,60,86.95652173913044,2024-10-17,09:13:09.694643
Great Ormond Street Institute of Child Health Library,92,82.14285714285714,2024-10-17,09:13:09.694695
Language & Speech Science Library,45,78.94736842105263,2024-10-17,09:13:09.694759
Science Library,642,69.93464052287581,2024-10-17,09:13:09.694830
Main Library,437,69.92,2024-10-17,09:13:09.694774
"Queen Square Institute of Neurology, Queen Square Library",20,68.96551724137932,2024-10-17,09:13:09.694788
School of Pharmacy Library,40,67.79661016949152,2024-10-17,09:13:09.694801
Graduate Hub (Postgraduate use only),36,65.45454545454545,2024-10-17,09:13:09.694680
Institute of Archaeology Library,37,63.793103448275865,2024-10-17,09:13:09.694710
Cruciform Hub,149,60.32388663967612,2024-10-17,09:13:09.694664
IOE Library,180,54.87804878048781,2024-10-17,09:13:09.694729
The Joint Library of Ophthalmology,24,54.54545454545454,2024-10-17,09:13:09.694743
Student Centre,335,51.777434312210204,2024-10-17,09:13:09.694842
UCL East Library,129,85.43046357615894,2024-10-17,10:12:41.133217
Language & Speech Science Library,46,80.7017543859649,2024-10-17,10:12:41.133122
Great Ormond Street Institute of Child Health Library,88,78.57142857142857,2024-10-17,10:12:41.133064
SSEES Library,129,73.29545454545455,2024-10-17,10:12:41.133180
"Queen Square Institute of Neurology, Queen Square Library",20,68.96551724137932,2024-10-17,10:12:41.133153
Bartlett Library,42,60.86956521739131,2024-10-17,10:12:41.133015
The Joint Library of Ophthalmology,25,56.81818181818182,2024-10-17,10:12:41.133108
Science Library,476,51.85185185185185,2024-10-17,10:12:41.133192
Main Library,303,48.480000000000004,2024-10-17,10:12:41.133136
Institute of Archaeology Library,28,48.275862068965516,2024-10-17,10:12:41.133079
Graduate Hub (Postgraduate use only),24,43.63636363636363,2024-10-17,10:12:41.133050
Cruciform Hub,94,38.05668016194332,2024-10-17,10:12:41.133035
IOE Library,114,34.756097560975604,2024-10-17,10:12:41.133094
Student Centre,220,34.003091190108194,2024-10-17,10:12:41.133204
School of Pharmacy Library,17,28.8135593220339,2024-10-17,10:12:41.133166
UCL East Library,129,85.43046357615894,2024-10-17,11:10:21.140179
Language & Speech Science Library,46,80.7017543859649,2024-10-17,11:10:21.140078
Bartlett Library,47,68.11594202898551,2024-10-17,11:10:21.139968
Great Ormond Street Institute of Child Health Library,74,66.07142857142857,2024-10-17,11:10:21.140019
The Joint Library of Ophthalmology,26,59.09090909090909,2024-10-17,11:10:21.140063
SSEES Library,91,51.70454545454546,2024-10-17,11:10:21.140139
"Queen Square Institute of Neurology, Queen Square Library",14,48.275862068965516,2024-10-17,11:10:21.140107
Institute of Archaeology Library,27,46.55172413793103,2024-10-17,11:10:21.140034
Science Library,367,39.97821350762527,2024-10-17,11:10:21.140152
Main Library,234,37.44,2024-10-17,11:10:21.140093
School of Pharmacy Library,20,33.89830508474576,2024-10-17,11:10:21.140121
Cruciform Hub,73,29.554655870445345,2024-10-17,11:10:21.139988
Graduate Hub (Postgraduate use only),16,29.09090909090909,2024-10-17,11:10:21.140004
Student Centre,178,27.51159196290572,2024-10-17,11:10:21.140166
IOE Library,84,25.609756097560975,2024-10-17,11:10:21.140048
UCL East Library,113,74.83443708609272,2024-10-17,12:22:40.302454
Language & Speech Science Library,40,70.17543859649122,2024-10-17,12:22:40.302358
Great Ormond Street Institute of Child Health Library,68,60.71428571428571,2024-10-17,12:22:40.302296
"Queen Square Institute of Neurology, Queen Square Library",17,58.620689655172406,2024-10-17,12:22:40.302390
SSEES Library,98,55.68181818181818,2024-10-17,12:22:40.302417
The Joint Library of Ophthalmology,23,52.27272727272727,2024-10-17,12:22:40.302344
Bartlett Library,36,52.17391304347826,2024-10-17,12:22:40.302245
Institute of Archaeology Library,25,43.103448275862064,2024-10-17,12:22:40.302311
Cruciform Hub,98,39.67611336032389,2024-10-17,12:22:40.302265
Science Library,355,38.67102396514161,2024-10-17,12:22:40.302429
Main Library,230,36.8,2024-10-17,12:22:40.302376
Graduate Hub (Postgraduate use only),20,36.36363636363637,2024-10-17,12:22:40.302281
Student Centre,172,26.584234930448225,2024-10-17,12:22:40.302442
School of Pharmacy Library,13,22.033898305084744,2024-10-17,12:22:40.302404
IOE Library,71,21.646341463414632,2024-10-17,12:22:40.302330
UCL East Library,112,74.17218543046357,2024-10-17,13:20:46.811260
Great Ormond Street Institute of Child Health Library,67,59.82142857142857,2024-10-17,13:20:46.811103
Bartlett Library,41,59.42028985507246,2024-10-17,13:20:46.811053
The Joint Library of Ophthalmology,26,59.09090909090909,2024-10-17,13:20:46.811146
Language & Speech Science Library,33,57.89473684210527,2024-10-17,13:20:46.811165
SSEES Library,94,53.40909090909091,2024-10-17,13:20:46.811220
"Queen Square Institute of Neurology, Queen Square Library",14,48.275862068965516,2024-10-17,13:20:46.811194
Graduate Hub (Postgraduate use only),21,38.18181818181819,2024-10-17,13:20:46.811088
Science Library,315,34.31372549019608,2024-10-17,13:20:46.811233
School of Pharmacy Library,18,30.508474576271187,2024-10-17,13:20:46.811207
Cruciform Hub,71,28.74493927125506,2024-10-17,13:20:46.811073
Main Library,170,27.200000000000003,2024-10-17,13:20:46.811180
Student Centre,168,25.965996908809892,2024-10-17,13:20:46.811245
Institute of Archaeology Library,12,20.689655172413794,2024-10-17,13:20:46.811117
IOE Library,61,18.597560975609756,2024-10-17,13:20:46.811131
UCL East Library,110,72.84768211920529,2024-10-17,14:11:57.473700
Great Ormond Street Institute of Child Health Library,73,65.17857142857143,2024-10-17,14:11:57.473546
Language & Speech Science Library,36,63.1578947368421,2024-10-17,14:11:57.473604
The Joint Library of Ophthalmology,26,59.09090909090909,2024-10-17,14:11:57.473590
"Queen Square Institute of Neurology, Queen Square Library",13,44.827586206896555,2024-10-17,14:11:57.473632
Bartlett Library,30,43.47826086956522,2024-10-17,14:11:57.473496
SSEES Library,71,40.340909090909086,2024-10-17,14:11:57.473659
Institute of Archaeology Library,19,32.758620689655174,2024-10-17,14:11:57.473561
Student Centre,211,32.61205564142195,2024-10-17,14:11:57.473684
Science Library,295,32.13507625272331,2024-10-17,14:11:57.473671
Main Library,168,26.88,2024-10-17,14:11:57.473618
Cruciform Hub,59,23.88663967611336,2024-10-17,14:11:57.473516
Graduate Hub (Postgraduate use only),13,23.636363636363637,2024-10-17,14:11:57.473532
IOE Library,68,20.73170731707317,2024-10-17,14:11:57.473576
School of Pharmacy Library,11,18.64406779661017,2024-10-17,14:11:57.473645
UCL East Library,111,73.50993377483444,2024-10-17,15:11:57.750365
Great Ormond Street Institute of Child Health Library,75,66.96428571428571,2024-10-17,15:11:57.750214
The Joint Library of Ophthalmology,27,61.36363636363637,2024-10-17,15:11:57.750258
"Queen Square Institute of Neurology, Queen Square Library",15,51.724137931034484,2024-10-17,15:11:57.750301
Language & Speech Science Library,29,50.877192982456144,2024-10-17,15:11:57.750272
SSEES Library,82,46.590909090909086,2024-10-17,15:11:57.750327
School of Pharmacy Library,26,44.06779661016949,2024-10-17,15:11:57.750314
Bartlett Library,26,37.68115942028986,2024-10-17,15:11:57.750164
Institute of Archaeology Library,20,34.48275862068966,2024-10-17,15:11:57.750230
Main Library,200,32.0,2024-10-17,15:11:57.750287
Graduate Hub (Postgraduate use only),17,30.909090909090907,2024-10-17,15:11:57.750200
Science Library,281,30.610021786492375,2024-10-17,15:11:57.750340
Student Centre,190,29.36630602782071,2024-10-17,15:11:57.750352
Cruciform Hub,71,28.74493927125506,2024-10-17,15:11:57.750184
IOE Library,70,21.341463414634145,2024-10-17,15:11:57.750244
UCL East Library,115,76.15894039735099,2024-10-17,16:15:39.894995
Great Ormond Street Institute of Child Health Library,72,64.28571428571429,2024-10-17,16:15:39.894842
The Joint Library of Ophthalmology,28,63.63636363636363,2024-10-17,16:15:39.894885
Language & Speech Science Library,34,59.64912280701754,2024-10-17,16:15:39.894899
"Queen Square Institute of Neurology, Queen Square Library",17,58.620689655172406,2024-10-17,16:15:39.894927
SSEES Library,101,57.38636363636363,2024-10-17,16:15:39.894954
Bartlett Library,27,39.130434782608695,2024-10-17,16:15:39.894792
Institute of Archaeology Library,22,37.93103448275862,2024-10-17,16:15:39.894857
Science Library,338,36.81917211328976,2024-10-17,16:15:39.894967
Main Library,219,35.04,2024-10-17,16:15:39.894913
School of Pharmacy Library,20,33.89830508474576,2024-10-17,16:15:39.894940
Student Centre,184,28.438948995363216,2024-10-17,16:15:39.894979
Cruciform Hub,70,28.34008097165992,2024-10-17,16:15:39.894812
Graduate Hub (Postgraduate use only),14,25.454545454545453,2024-10-17,16:15:39.894827
IOE Library,75,22.865853658536587,2024-10-17,16:15:39.894871
UCL East Library,129,85.43046357615894,2024-10-17,17:10:59.015370
Language & Speech Science Library,45,78.94736842105263,2024-10-17,17:10:59.015269
Great Ormond Street Institute of Child Health Library,80,71.42857142857143,2024-10-17,17:10:59.015216
SSEES Library,117,66.47727272727273,2024-10-17,17:10:59.015331
"Queen Square Institute of Neurology, Queen Square Library",18,62.06896551724138,2024-10-17,17:10:59.015303
Bartlett Library,37,53.62318840579711,2024-10-17,17:10:59.015148
Institute of Archaeology Library,28,48.275862068965516,2024-10-17,17:10:59.015232
Science Library,417,45.42483660130719,2024-10-17,17:10:59.015344
School of Pharmacy Library,26,44.06779661016949,2024-10-17,17:10:59.015318
Main Library,274,43.84,2024-10-17,17:10:59.015284
Cruciform Hub,99,40.08097165991903,2024-10-17,17:10:59.015168
IOE Library,93,28.353658536585364,2024-10-17,17:10:59.015247
Student Centre,177,27.35703245749614,2024-10-17,17:10:59.015357
Graduate Hub (Postgraduate use only),14,25.454545454545453,2024-10-17,17:10:59.015184
The Joint Library of Ophthalmology,-1,-1.0,2024-10-17,17:10:59.015255
UCL East Library,138,91.3907284768212,2024-10-17,18:14:47.940844
Language & Speech Science Library,48,84.21052631578947,2024-10-17,18:14:47.940751
SSEES Library,144,81.81818181818183,2024-10-17,18:14:47.940806
"Queen Square Institute of Neurology, Queen Square Library",22,75.86206896551724,2024-10-17,18:14:47.940779
Bartlett Library,50,72.46376811594203,2024-10-17,18:14:47.940651
Cruciform Hub,158,63.96761133603239,2024-10-17,18:14:47.940672
Institute of Archaeology Library,37,63.793103448275865,2024-10-17,18:14:47.940710
Graduate Hub (Postgraduate use only),33,60.0,2024-10-17,18:14:47.940687
Science Library,541,58.932461873638346,2024-10-17,18:14:47.940819
School of Pharmacy Library,34,57.6271186440678,2024-10-17,18:14:47.940793
Main Library,358,57.28,2024-10-17,18:14:47.940765
IOE Library,170,51.829268292682926,2024-10-17,18:14:47.940725
Student Centre,253,39.10355486862442,2024-10-17,18:14:47.940831
The Joint Library of Ophthalmology,-1,-1.0,2024-10-17,18:14:47.940733
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-17,18:14:47.940696
UCL East Library,145,96.02649006622516,2024-10-17,19:10:33.905659
SSEES Library,164,93.18181818181817,2024-10-17,19:10:33.905621
Language & Speech Science Library,48,84.21052631578947,2024-10-17,19:10:33.905569
Bartlett Library,56,81.15942028985508,2024-10-17,19:10:33.905475
Graduate Hub (Postgraduate use only),42,76.36363636363637,2024-10-17,19:10:33.905510
Main Library,453,72.48,2024-10-17,19:10:33.905583
Institute of Archaeology Library,42,72.41379310344827,2024-10-17,19:10:33.905533
Science Library,657,71.56862745098039,2024-10-17,19:10:33.905634
Cruciform Hub,164,66.39676113360325,2024-10-17,19:10:33.905495
School of Pharmacy Library,33,55.932203389830505,2024-10-17,19:10:33.905608
IOE Library,177,53.963414634146346,2024-10-17,19:10:33.905547
Student Centre,285,44.04945904173106,2024-10-17,19:10:33.905647
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-17,19:10:33.905518
The Joint Library of Ophthalmology,-1,-1.0,2024-10-17,19:10:33.905555
"Queen Square Institute of Neurology, Queen Square Library",-1,-1.0,2024-10-17,19:10:33.905591
UCL East Library,145,96.02649006622516,2024-10-17,20:13:23.485928
Institute of Archaeology Library,52,89.65517241379311,2024-10-17,20:13:23.485810
SSEES Library,157,89.20454545454545,2024-10-17,20:13:23.485889
School of Pharmacy Library,48,81.35593220338984,2024-10-17,20:13:23.485875
Main Library,498,79.67999999999999,2024-10-17,20:13:23.485854
Graduate Hub (Postgraduate use only),43,78.18181818181819,2024-10-17,20:13:23.485787
Science Library,696,75.81699346405229,2024-10-17,20:13:23.485902
Cruciform Hub,179,72.46963562753037,2024-10-17,20:13:23.485770
IOE Library,217,66.15853658536585,2024-10-17,20:13:23.485824
Student Centre,329,50.8500772797527,2024-10-17,20:13:23.485915
Bartlett Library,-1,-1.0,2024-10-17,20:13:23.485748
The Joint Library of Ophthalmology,-1,-1.0,2024-10-17,20:13:23.485832
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-17,20:13:23.485795
"Queen Square Institute of Neurology, Queen Square Library",-1,-1.0,2024-10-17,20:13:23.485861
Language & Speech Science Library,-1,-1.0,2024-10-17,20:13:23.485839
UCL East Library,150,99.33774834437085,2024-10-17,21:11:29.403241
Science Library,775,84.42265795206971,2024-10-17,21:11:29.403210
Main Library,518,82.88,2024-10-17,21:11:29.403166
School of Pharmacy Library,44,74.57627118644068,2024-10-17,21:11:29.403188
Graduate Hub (Postgraduate use only),39,70.9090909090909,2024-10-17,21:11:29.403111
Student Centre,385,59.50540958268934,2024-10-17,21:11:29.403224
Bartlett Library,-1,-1.0,2024-10-17,21:11:29.403080
The Joint Library of Ophthalmology,-1,-1.0,2024-10-17,21:11:29.403142
IOE Library,-1,-1.0,2024-10-17,21:11:29.403135
Institute of Archaeology Library,-1,-1.0,2024-10-17,21:11:29.403127
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-17,21:11:29.403119
Cruciform Hub,-1,-1.0,2024-10-17,21:11:29.403093
Language & Speech Science Library,-1,-1.0,2024-10-17,21:11:29.403150
"Queen Square Institute of Neurology, Queen Square Library",-1,-1.0,2024-10-17,21:11:29.403174
SSEES Library,-1,-1.0,2024-10-17,21:11:29.403196
UCL East Library,150,99.33774834437085,2024-10-17,22:11:48.480769
Science Library,821,89.43355119825708,2024-10-17,22:11:48.480737
Graduate Hub (Postgraduate use only),49,89.0909090909091,2024-10-17,22:11:48.480644
Main Library,530,84.8,2024-10-17,22:11:48.480699
Student Centre,439,67.85162287480681,2024-10-17,22:11:48.480755
Bartlett Library,-1,-1.0,2024-10-17,22:11:48.480613
Cruciform Hub,-1,-1.0,2024-10-17,22:11:48.480626
The Joint Library of Ophthalmology,-1,-1.0,2024-10-17,22:11:48.480676
IOE Library,-1,-1.0,2024-10-17,22:11:48.480668
Institute of Archaeology Library,-1,-1.0,2024-10-17,22:11:48.480660
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-17,22:11:48.480652
School of Pharmacy Library,-1,-1.0,2024-10-17,22:11:48.480715
"Queen Square Institute of Neurology, Queen Square Library",-1,-1.0,2024-10-17,22:11:48.480707
Language & Speech Science Library,-1,-1.0,2024-10-17,22:11:48.480683
SSEES Library,-1,-1.0,2024-10-17,22:11:48.480723
UCL East Library,150,99.33774834437085,2024-10-17,23:12:16.123594
Graduate Hub (Postgraduate use only),53,96.36363636363636,2024-10-17,23:12:16.123468
Science Library,875,95.31590413943356,2024-10-17,23:12:16.123562
Main Library,538,86.08,2024-10-17,23:12:16.123523
Student Centre,502,77.58887171561051,2024-10-17,23:12:16.123580
Bartlett Library,-1,-1.0,2024-10-17,23:12:16.123437
Cruciform Hub,-1,-1.0,2024-10-17,23:12:16.123450
The Joint Library of Ophthalmology,-1,-1.0,2024-10-17,23:12:16.123500
IOE Library,-1,-1.0,2024-10-17,23:12:16.123492
Institute of Archaeology Library,-1,-1.0,2024-10-17,23:12:16.123485
Great Ormond Street Institute of Child Health Library,-1,-1.0,2024-10-17,23:12:16.123476
School of Pharmacy Library,-1,-1.0,2024-10-17,23:12:16.123539
